Gene,Score
PRKCB,0.8872
KRAS,0.8787
MAPK1,0.8784
MAPK3,0.8783
LDLR,0.8764
ADAM17,0.8755
TNFRSF1A,0.8748
PDGFRA,0.8737
ITGAV,0.8666
PIK3R1,0.8642
HRAS,0.8639
PLCB1,0.8633
BAD,0.8630
AKT1,0.8626
TGFB1,0.8625
TNF,0.8609
JUN,0.8593
TGFB2,0.8593
PTEN,0.8590
BDNF,0.8584
FYN,0.8577
PRKACB,0.8571
VCAM1,0.8563
PLCB4,0.8560
ITPR1,0.8534
RAF1,0.8530
EP300,0.8515
MAP2K2,0.8507
EGR1,0.8499
BAK1,0.8490
CASP3,0.8487
ICAM1,0.8487
CACNA1C,0.8463
CASP8,0.8457
GRIN1,0.8453
CALM3,0.8451
TP53,0.8450
PRKCD,0.8447
CACNA1D,0.8417
CALM1,0.8407
CAMK4,0.8404
GNAQ,0.8377
PRKCA,0.8377
SOS1,0.8369
AKT3,0.8367
MAPK13,0.8354
ITPR2,0.8349
ITPR3,0.8347
CCND2,0.8341
GRB2,0.8337
RHOA,0.8324
PPP3CA,0.8318
LRP1,0.8305
ACTN1,0.8295
LYN,0.8280
PLCB3,0.8280
GRIN2B,0.8278
CDC42,0.8274
RXRA,0.8265
FN1,0.8263
CDH1,0.8254
MAP2K1,0.8253
NFKBIA,0.8253
CCND1,0.8244
PRKCG,0.8244
PRKACA,0.8241
PLCB2,0.8234
CAV1,0.8234
EGFR,0.8224
MAPK14,0.8223
PPP3CC,0.8221
PDGFB,0.8221
AKT2,0.8220
PIK3CB,0.8219
STAT5B,0.8214
PPP3R1,0.8214
PDGFA,0.8213
NRAS,0.8212
ITGA4,0.8206
CCR5,0.8199
TGFBR2,0.8194
CCL3,0.8193
RAC1,0.8185
ITGB3,0.8183
BRAF,0.8176
TGFBR1,0.8169
CALM2,0.8156
ITGA6,0.8143
STAT3,0.8137
CCL5,0.8135
ATP2A2,0.8126
PIK3CA,0.8126
NFKB1,0.8121
SHC1,0.8120
FOS,0.8120
GRIN2C,0.8109
NF1,0.8104
RAC2,0.8102
TRAF6,0.8099
SOCS3,0.8095
CXCR4,0.8084
MME,0.8083
ATF2,0.8081
COL1A1,0.8080
PIK3CD,0.8079
BCL2L1,0.8072
CREBBP,0.8070
NGF,0.8063
NOS1,0.8054
MAPK12,0.8050
CTSB,0.8049
CRKL,0.8048
